,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,H1
152,240,160,80,240,79,159,161,1,2
153,273,182,91,273,90,181,183,1,2
154,591,394,197,591,196,393,395,1,2
155,243,162,81,243,80,161,163,1,2
156,741,494,247,741,246,493,495,1,2
157,291,194,97,291,96,193,195,1,2
158,567,378,189,567,188,377,379,1,2
159,354,236,118,354,117,235,237,1,2
160,645,430,215,645,214,429,431,1,2
161,387,258,129,387,128,257,259,1,2
162,324,216,108,324,107,215,217,1,2
163,519,346,173,519,172,345,347,1,2
164,492,328,164,492,163,327,329,1,2
165,627,418,209,627,208,417,419,1,2
166,273,182,91,273,90,181,183,1,2
167,603,402,201,603,200,401,403,1,2
168,555,370,185,555,184,369,371,1,2
169,423,282,141,423,140,281,283,1,2
170,246,164,82,246,81,163,165,1,2
171,369,246,123,369,122,245,247,1,2
172,279,186,93,279,92,185,187,1,2
173,456,304,152,456,151,303,305,1,2
174,300,200,100,300,99,199,201,1,2
175,522,348,174,522,173,347,349,1,2
176,546,364,182,546,181,363,365,1,2
177,252,168,84,252,83,167,169,1,2
178,633,422,211,633,210,421,423,1,2
179,354,236,118,354,117,235,237,1,2
180,255,170,85,255,84,169,171,1,2
181,519,346,173,519,172,345,347,1,2
182,486,324,162,486,161,323,325,1,2
183,198,132,66,198,65,131,133,1,2
184,753,502,251,753,250,501,503,1,2
185,498,332,166,498,165,331,333,1,2
186,243,162,81,243,80,161,163,1,2
187,531,354,177,531,176,353,355,1,2
188,774,516,258,774,257,515,517,1,2
189,240,160,80,240,79,159,161,1,2
190,630,420,210,630,209,419,421,1,2
191,423,282,141,423,140,281,283,1,2
192,324,216,108,324,107,215,217,1,2
193,324,216,108,324,107,215,217,1,2
194,159,106,53,159,52,105,107,1,2
195,519,346,173,519,172,345,347,1,2
196,201,134,67,201,66,133,135,1,2
197,552,368,184,552,183,367,369,1,2
198,459,306,153,459,152,305,307,1,2
199,345,230,115,345,114,229,231,1,2
200,438,292,146,438,145,291,293,1,2
201,225,150,75,225,74,149,151,1,2
202,507,338,169,507,168,337,339,1,2
203,282,188,94,282,93,187,189,1,2
204,573,382,191,573,190,381,383,1,2
205,555,370,185,555,184,369,371,1,2
206,444,296,148,444,147,295,297,1,2
207,483,322,161,483,160,321,323,1,2
208,567,378,189,567,188,377,379,1,2
209,219,146,73,219,72,145,147,1,2
210,396,264,132,396,131,263,265,1,2
211,345,230,115,345,114,229,231,1,2
212,417,278,139,417,138,277,279,1,2
213,381,254,127,381,126,253,255,1,2
214,777,518,259,777,258,517,519,1,2
215,198,132,66,198,65,131,133,1,2
216,264,176,88,264,87,175,177,1,2
217,621,414,207,621,206,413,415,1,2
218,684,456,228,684,227,455,457,1,2
219,615,410,205,615,204,409,411,1,2
220,561,374,187,561,186,373,375,1,2
221,594,396,198,594,197,395,397,1,2
222,495,330,165,495,164,329,331,1,2
223,714,476,238,714,237,475,477,1,2
224,510,340,170,510,169,339,341,1,2
